# 2023-02-16, 15:57:28.581041
# fs = 10 Hz, N = 128
# NI 9201, 19.5.0
t,ai0
0.000000000,-0.016308044
0.100000000,-0.006033238
0.200000000,-0.016308044
0.300000000,-0.011170641
0.400000000,-0.011170641
0.500000000,-0.016308044
0.600000000,-0.011170641
0.700000000,-0.000895835
0.800000000,-0.011170641
0.900000000,-0.000895835
1.000000000,0.004241568
1.100000000,-0.000895835
1.200000000,-0.006033238
1.300000000,0.004241568
1.400000000,0.004241568
1.500000000,0.004241568
1.600000000,-0.000895835
1.700000000,0.004241568
1.800000000,0.004241568
1.900000000,0.009378971
2.000000000,0.009378971
2.100000000,0.009378971
2.200000000,0.014516374
2.300000000,0.019653777
2.400000000,0.014516374
2.500000000,0.009378971
2.600000000,0.029928583
2.700000000,0.019653777
2.800000000,0.019653777
2.900000000,0.019653777
3.000000000,0.019653777
3.100000000,0.019653777
3.200000000,0.019653777
3.300000000,0.024791180
3.400000000,0.019653777
3.500000000,0.019653777
3.600000000,0.029928583
3.700000000,0.019653777
3.800000000,0.024791180
3.900000000,0.029928583
4.000000000,0.014516374
4.100000000,0.024791180
4.200000000,0.029928583
4.300000000,0.029928583
4.400000000,0.019653777
4.500000000,0.019653777
4.600000000,0.019653777
4.700000000,0.024791180
4.800000000,0.019653777
4.900000000,0.019653777
5.000000000,0.009378971
5.100000000,0.014516374
5.200000000,0.019653777
5.300000000,0.004241568
5.400000000,0.014516374
5.500000000,0.019653777
5.600000000,0.014516374
5.700000000,0.004241568
5.800000000,0.009378971
5.900000000,0.009378971
6.000000000,-0.000895835
6.100000000,0.004241568
6.200000000,0.004241568
6.300000000,0.004241568
6.400000000,-0.000895835
6.500000000,-0.000895835
6.600000000,-0.006033238
6.700000000,-0.006033238
6.800000000,-0.006033238
6.900000000,-0.006033238
7.000000000,-0.011170641
7.100000000,-0.000895835
7.200000000,-0.011170641
7.300000000,-0.021445447
7.400000000,-0.006033238
7.500000000,-0.011170641
7.600000000,-0.021445447
7.700000000,-0.016308044
7.800000000,-0.016308044
7.900000000,-0.021445447
8.000000000,-0.021445447
8.100000000,-0.021445447
8.200000000,-0.021445447
8.300000000,-0.026582850
8.400000000,-0.021445447
8.500000000,-0.021445447
8.600000000,-0.031720253
8.700000000,-0.016308044
8.800000000,-0.021445447
8.900000000,-0.021445447
9.000000000,-0.021445447
9.100000000,-0.021445447
9.200000000,-0.021445447
9.300000000,-0.026582850
9.400000000,-0.016308044
9.500000000,-0.021445447
9.600000000,-0.021445447
9.700000000,-0.011170641
9.800000000,-0.031720253
9.900000000,-0.021445447
10.000000000,-0.016308044
10.100000000,-0.016308044
10.200000000,-0.021445447
10.300000000,-0.016308044
10.400000000,-0.016308044
10.500000000,-0.016308044
10.600000000,-0.011170641
10.700000000,-0.011170641
10.800000000,-0.006033238
10.900000000,-0.006033238
11.000000000,0.004241568
11.100000000,-0.011170641
11.200000000,-0.011170641
11.300000000,0.009378971
11.400000000,0.004241568
11.500000000,-0.006033238
11.600000000,0.009378971
11.700000000,0.009378971
11.800000000,-0.000895835
11.900000000,0.014516374
12.000000000,0.014516374
12.100000000,0.004241568
12.200000000,0.009378971
12.300000000,0.019653777
12.400000000,0.014516374
12.500000000,0.014516374
12.600000000,0.019653777
12.700000000,0.014516374
