# 2023-02-16, 15:23:56.407695
# fs = 14 Hz, N = 300
# NI 9211, 19.5.0
t,ai0
0.000000000,0.079999566
0.071428571,-0.030312082
0.142857143,-0.080000424
0.214285714,0.030560781
0.285714286,0.079999566
0.357142857,-0.030316889
0.428571429,-0.080000424
0.500000000,0.030567114
0.571428571,0.079999566
0.642857143,-0.030322115
0.714285714,-0.080000424
0.785714286,0.030574190
0.857142857,0.079999566
0.928571429,-0.030331652
1.000000000,-0.080000424
1.071428571,0.030578997
1.142857143,0.079999566
1.214285714,-0.030334513
1.285714286,-0.080000424
1.357142857,0.030586702
1.428571429,0.079999566
1.500000000,-0.030340616
1.571428571,-0.080000424
1.642857143,0.030593950
1.714285714,0.079999566
1.785714286,-0.030346510
1.857142857,-0.080000424
1.928571429,0.030598204
2.000000000,0.079999566
2.071428571,-0.030353701
2.142857143,-0.080000424
2.214285714,0.030603830
2.285714286,0.079999566
2.357142857,-0.030358583
2.428571429,-0.080000424
2.500000000,0.030610029
2.571428571,0.079999566
2.642857143,-0.030366556
2.714285714,-0.080000424
2.785714286,0.030615580
2.857142857,0.079999566
2.928571429,-0.030369570
3.000000000,-0.080000424
3.071428571,0.030622026
3.142857143,0.079999566
3.214285714,-0.030375482
3.285714286,-0.080000424
3.357142857,0.030627825
3.428571429,0.079999566
3.500000000,-0.030382540
3.571428571,-0.080000424
3.642857143,0.030633032
3.714285714,0.079999566
3.785714286,-0.030387537
3.857142857,-0.080000424
3.928571429,0.030637857
4.000000000,0.079999566
4.071428571,-0.030395071
4.142857143,-0.080000424
4.214285714,0.030645925
4.285714286,0.079999566
4.357142857,-0.030402872
4.428571429,-0.080000424
4.500000000,0.030650083
4.571428571,0.079999566
4.642857143,-0.030407297
4.714285714,-0.080000424
4.785714286,0.030658895
4.857142857,0.079999566
4.928571429,-0.030412714
5.000000000,-0.080000424
5.071428571,0.030666506
5.142857143,0.079999566
5.214285714,-0.030420534
5.285714286,-0.080000424
5.357142857,0.030668070
5.428571429,0.079999566
5.500000000,-0.030425703
5.571428571,-0.080000424
5.642857143,0.030677301
5.714285714,0.079999566
5.785714286,-0.030432493
5.857142857,-0.080000424
5.928571429,0.030681612
6.000000000,0.079999566
6.071428571,-0.030438845
6.142857143,-0.080000424
6.214285714,0.030687811
6.285714286,0.079999566
6.357142857,-0.030444643
6.428571429,-0.080000424
6.500000000,0.030694181
6.571428571,0.079999566
6.642857143,-0.030449335
6.714285714,-0.080000424
6.785714286,0.030699236
6.857142857,0.079999566
6.928571429,-0.030458853
7.000000000,-0.080000424
7.071428571,0.030705873
7.142857143,0.079999566
7.214285714,-0.030463583
7.285714286,-0.080000424
7.357142857,0.030713751
7.428571429,0.079999566
7.500000000,-0.030469934
7.571428571,-0.080000424
7.642857143,0.030720274
7.714285714,0.079999566
7.785714286,-0.030475885
7.857142857,-0.080000424
7.928571429,0.030724451
8.000000000,0.079999566
8.071428571,-0.030481970
8.142857143,-0.080000424
8.214285714,0.030733702
8.285714286,0.079999566
8.357142857,-0.030486872
8.428571429,-0.080000424
8.500000000,0.030738851
8.571428571,0.079999566
8.642857143,-0.030494062
8.714285714,-0.080000424
8.785714286,0.030742075
