# 2023-02-16, 15:28:47.680295
# fs = 14 Hz, N = 50
# NI 9211, 19.5.0
t,ai0
0.000000000,-0.046654017
0.071428571,0.028815405
0.142857143,0.011152592
0.214285714,-0.042294943
0.285714286,0.042010310
0.357142857,-0.009676610
0.428571429,-0.029526941
0.500000000,0.046913417
0.571428571,-0.028555738
0.642857143,-0.010880986
0.714285714,0.042552054
0.785714286,-0.041752684
0.857142857,0.009948998
0.928571429,0.029784662
1.000000000,-0.046654342
1.071428571,0.028828050
1.142857143,0.011138459
1.214285714,-0.042285826
1.285714286,0.042018683
1.357142857,-0.009689599
1.428571429,-0.029515440
1.500000000,0.046915572
1.571428571,-0.028567087
1.642857143,-0.010863763
1.714285714,0.042546637
1.785714286,-0.041760237
1.857142857,0.009962044
1.928571429,0.029774649
2.000000000,-0.046652587
2.071428571,0.028839647
2.142857143,0.011120396
2.214285714,-0.042283442
2.285714286,0.042024825
2.357142857,-0.009704915
2.428571429,-0.029503710
2.500000000,0.046912120
2.571428571,-0.028581259
2.642857143,-0.010850716
2.714285714,0.042539199
2.785714286,-0.041766131
2.857142857,0.009976807
2.928571429,0.029759428
3.000000000,-0.046653331
3.071428571,0.028849623
3.142857143,0.011106263
3.214285714,-0.042273314
3.285714286,0.042029479
3.357142857,-0.009720975
3.428571429,-0.029489080
3.500000000,0.046911509
