# 2023-02-16, 15:42:20.143071
# fs = 14 Hz, N = 50
# NI 9211, 19.5.0
t,ai0
0.000000000,0.080000119
0.071428571,0.080000119
0.142857143,0.067544674
0.214285714,0.080000119
0.285714286,0.080000119
0.357142857,0.080000119
0.428571429,0.080000119
0.500000000,0.079513459
0.571428571,0.074064793
0.642857143,0.080000119
0.714285714,0.078809266
0.785714286,0.076721577
0.857142857,0.080000119
0.928571429,0.073375516
1.000000000,0.076554770
1.071428571,0.079847436
1.142857143,0.071561360
1.214285714,0.078327126
1.285714286,0.078645673
1.357142857,0.071859288
1.428571429,0.080000119
1.500000000,0.076927495
1.571428571,0.072995419
1.642857143,0.080000119
1.714285714,0.075206876
1.785714286,0.075037331
1.857142857,0.080000119
1.928571429,0.074220357
2.000000000,0.078278375
2.071428571,0.080000119
2.142857143,0.073454194
2.214285714,0.080000119
2.285714286,0.080000119
2.357142857,0.074005742
2.428571429,0.080000119
2.500000000,0.079886422
2.571428571,0.074384312
2.642857143,0.080000119
2.714285714,0.078368516
2.785714286,0.076885094
2.857142857,0.080000119
2.928571429,0.076438641
3.000000000,0.080000119
3.071428571,0.080000119
3.142857143,0.075082001
3.214285714,0.080000119
3.285714286,0.080000119
3.357142857,0.074639382
3.428571429,0.080000119
3.500000000,0.080000119
